number,title,author,category_id,category_name,anchor,motif_family,motif_basis,content_source,visual_rendering,third_party_images,third_party_logos,headway_assets,public_publish_status
41,Deep Work,Cal Newport,productivity,Productivity & Execution,gallery-i-41,stack,"layered slabs, one per chip",Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
42,Don't Overthink It,Anne Bogel,purpose,"Purpose, Meaning & Wellbeing",gallery-i-42,tree,branching decision from the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
43,Do the Work,Steven Pressfield,productivity,Productivity & Execution,gallery-i-43,path,waypoint route through the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
44,Everything is Figureoutable,Marie Forleo,mindset,Mindset & Growth,gallery-i-44,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
45,Feeling Good,"David D. Burns, M.D.",purpose,"Purpose, Meaning & Wellbeing",gallery-i-45,exchange,two opposed columns with crossing paths,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
46,You Are a Badass at Making Money,Jen Sincero,mindset,Mindset & Growth,gallery-i-46,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
47,Unlimited Memory,Grandmaster Kevin Horsley,mindset,Mindset & Growth,gallery-i-47,network,peer nodes and relations between chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
48,Principles,Raymond Dalio,leadership,Leadership & Teams,gallery-i-48,cycle,closed loop of the framework chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
49,5 Dysfunctions of a Team,Patrick Lencioni,leadership,Leadership & Teams,gallery-i-49,ladder,vertical progression of the chips,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
50,Mindful Relationship Habits,S.J.Scott & Barrie Davenport,communication,Communication & Relationships,gallery-i-50,orbit,concentric rings with chip satellites,Ayvede original editorial summary,Original procedural React/SVG visual generated from framework chips,none,none,removed,original-content-only build
